,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Visitor Miles,Home Miles
5574,2016-03-01,10:30p,Brooklyn Nets,101,Los Angeles Lakers,107,None,STAPLES Center,0.0,0.0
5575,2016-03-02,7:00p,Chicago Bulls,89,Orlando Magic,102,None,Amway Center,328.7388510040184,1547.5630092294198
5576,2016-03-02,7:00p,Charlotte Hornets,119,Philadelphia 76ers,99,None,Wells Fargo Center,720.6861233431512,194.10551601585877
5577,2016-03-02,7:30p,Portland Trail Blazers,93,Boston Celtics,116,None,TD Garden,302.8269357799009,0.0
5578,2016-03-02,7:30p,Utah Jazz,94,Toronto Raptors,104,None,Air Canada Centre,690.755401085842,332.19366550770116
5579,2016-03-02,8:00p,New Orleans Pelicans,95,Houston Rockets,100,None,Toyota Center,509.64888007288965,1619.7806556089733
5580,2016-03-02,8:00p,Sacramento Kings,98,Memphis Grizzlies,104,None,FedEx Forum,2809.4762009264196,1413.3426956659735
5581,2016-03-02,8:00p,Indiana Pacers,104,Milwaukee Bucks,99,None,BMO Harris Bradley Center,540.5014740287551,0.0
5582,2016-03-02,8:00p,Washington Wizards,104,Minnesota Timberwolves,98,None,Target Center,1501.2675310832583,1389.0628296321163
5583,2016-03-02,8:00p,Detroit Pistons,81,San Antonio Spurs,97,None,AT&T Center,1989.3933238146783,299.59522540975945
5584,2016-03-02,9:00p,Los Angeles Lakers,107,Denver Nuggets,117,None,Pepsi Center,1336.943130611183,0.0
5585,2016-03-02,10:30p,Oklahoma City Thunder,98,Los Angeles Clippers,103,None,STAPLES Center,581.6399730428296,0.0
5586,2016-03-03,7:30p,Phoenix Suns,92,Miami Heat,108,None,AmericanAirlines Arena,1051.97249862019,0.0
5587,2016-03-03,8:00p,San Antonio Spurs,94,New Orleans Pelicans,86,None,Smoothie King Center,809.0843167551981,509.64888007288965
5588,2016-03-03,8:30p,Sacramento Kings,104,Dallas Mavericks,101,None,American Airlines Center,676.193332500622,0.0
5589,2016-03-03,10:30p,Oklahoma City Thunder,106,Golden State Warriors,121,None,Oracle Arena,543.5789904134948,0.0
5590,2016-03-04,7:00p,Indiana Pacers,101,Charlotte Hornets,108,None,Time Warner Cable Arena,1061.540274977864,720.6861233431512
5591,2016-03-04,7:00p,Phoenix Suns,102,Orlando Magic,84,None,Amway Center,328.7388510040184,0.0
5592,2016-03-04,7:00p,Miami Heat,112,Philadelphia 76ers,102,None,Wells Fargo Center,1637.7082950648175,0.0
5593,2016-03-04,7:30p,New York Knicks,104,Boston Celtics,105,None,TD Garden,302.8269357799009,0.0
5594,2016-03-04,7:30p,Portland Trail Blazers,115,Toronto Raptors,117,None,Air Canada Centre,690.755401085842,0.0
5595,2016-03-04,8:00p,Washington Wizards,83,Cleveland Cavaliers,108,None,Quicken Loans Arena,1014.2755611622656,0.0
5596,2016-03-04,8:00p,Utah Jazz,88,Memphis Grizzlies,94,None,FedEx Forum,1313.8394503783445,0.0
5597,2016-03-04,8:00p,Minnesota Timberwolves,101,Milwaukee Bucks,116,None,BMO Harris Bradley Center,479.40292058392754,0.0
5598,2016-03-04,9:00p,Brooklyn Nets,121,Denver Nuggets,120,OT,Pepsi Center,1336.943130611183,0.0
5599,2016-03-04,10:30p,Atlanta Hawks,106,Los Angeles Lakers,77,None,STAPLES Center,543.5789904134948,1336.943130611183
5600,2016-03-05,7:00p,Boston Celtics,103,Cleveland Cavaliers,120,None,Quicken Loans Arena,883.7191492259007,0.0
5601,2016-03-05,7:00p,Utah Jazz,106,New Orleans Pelicans,94,None,Smoothie King Center,578.998800034611,0.0
5602,2016-03-05,7:00p,Detroit Pistons,89,New York Knicks,102,None,Madison Square Garden (IV),2543.0792395433327,302.8269357799009
5603,2016-03-05,7:00p,Indiana Pacers,100,Washington Wizards,99,None,Verizon Center,530.52423180597,490.4262711934011
5604,2016-03-05,8:00p,Brooklyn Nets,118,Minnesota Timberwolves,132,None,Target Center,1124.1340136907127,479.40292058392754
5605,2016-03-05,8:30p,Houston Rockets,100,Chicago Bulls,108,None,United Center,1514.8618950089124,1588.653336706834
5606,2016-03-05,8:30p,Sacramento Kings,94,San Antonio Spurs,104,None,AT&T Center,404.88038844274155,809.0843167551981
5607,2016-03-05,10:30p,Atlanta Hawks,107,Los Angeles Clippers,97,None,STAPLES Center,0.0,0.0
