,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Year,Latitude,Longitude
196,2012-01-17,7:30p,San Antonio Spurs,98,Miami Heat,120,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
197,2012-01-17,8:00p,Phoenix Suns,97,Chicago Bulls,118,None,United Center,2012,41.881° N,87.675° W
198,2012-01-17,8:00p,Detroit Pistons,80,Houston Rockets,97,None,Toyota Center,2012,29.751° N,95.362° W
199,2012-01-17,8:00p,Denver Nuggets,105,Milwaukee Bucks,95,None,Bradley Center,2012,43.045° N,87.917° W
200,2012-01-17,9:00p,Los Angeles Clippers,79,Utah Jazz,108,None,EnergySolutions Arena,2012,40.768° N,111.901° W
201,2012-01-18,7:00p,San Antonio Spurs,85,Orlando Magic,83,OT,Amway Center,2012,28.539° N,81.384° W
202,2012-01-18,7:00p,Denver Nuggets,108,Philadelphia 76ers,104,OT,Wells Fargo Center,2012,39.901° N,75.172° W
203,2012-01-18,7:00p,Oklahoma City Thunder,102,Washington Wizards,105,None,Verizon Center,2012,38.898° N,77.021° W
204,2012-01-18,7:30p,Toronto Raptors,73,Boston Celtics,96,None,TD Garden,2012,42.366° N,71.062° W
205,2012-01-18,7:30p,Golden State Warriors,100,New Jersey Nets,107,None,Prudential Center,2012,34.043° N,118.267° W
206,2012-01-18,7:30p,Phoenix Suns,91,New York Knicks,88,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
207,2012-01-18,8:00p,Portland Trail Blazers,89,Atlanta Hawks,92,None,Philips Arena,2012,33.757° N,84.396° W
208,2012-01-18,8:00p,Detroit Pistons,85,Minnesota Timberwolves,93,None,Target Center,2012,44.98° N,93.276° W
209,2012-01-18,8:00p,Memphis Grizzlies,93,New Orleans Hornets,87,None,New Orleans Arena,2012,34.043° N,118.267° W
210,2012-01-18,10:00p,Indiana Pacers,88,Sacramento Kings,92,None,Power Balance Pavilion,2012,38.58° N,121.5° W
211,2012-01-18,10:30p,Dallas Mavericks,89,Los Angeles Clippers,91,None,STAPLES Center,2012,34.043° N,118.267° W
212,2012-01-19,8:00p,New Orleans Hornets,88,Houston Rockets,90,OT,Toyota Center,2012,29.751° N,95.362° W
213,2012-01-19,8:00p,Los Angeles Lakers,87,Miami Heat,98,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
214,2012-01-19,10:30p,Dallas Mavericks,94,Utah Jazz,91,None,EnergySolutions Arena,2012,40.768° N,111.901° W
215,2012-01-20,7:00p,Atlanta Hawks,76,Philadelphia 76ers,90,None,Wells Fargo Center,2012,39.901° N,75.172° W
216,2012-01-20,7:00p,Portland Trail Blazers,94,Toronto Raptors,84,None,Air Canada Centre,2012,43.644° N,79.379° W
217,2012-01-20,7:00p,Denver Nuggets,108,Washington Wizards,104,None,Verizon Center,2012,38.898° N,77.021° W
218,2012-01-20,7:30p,Phoenix Suns,79,Boston Celtics,71,None,TD Garden,2012,42.366° N,71.062° W
